Wakefield Trinity – Super League 2026 squad

Number  Name
------  ----
 1      Max Jowitt (Fullback)
 2      Oliver Pratt (Centre)
 3      Cameron Scott (Centre)
 4      Corey Hall (Centre)
 5      Tom Johnstone (Wing)
 6      Jake Trueman (Half-back)
 7      Mason Lino (Half-back)
 8      Mike McMeeken (Prop)
 9      Tyson Smoothy (Hooker)
10      Ky Rodwell (Prop)
11      Seth Nikotemo (Second-row)
12      Matty Storton (Prop)
13      Jazz Tevaga (Loose forward)
14      Jay Pitts (Second-row)
15      Caleb Hamlin-Uele (Prop)
16      Caius Faatili (Prop)
17      Harvey Smith (Hooker)
18      Isaiah Vagana (Prop)
19      Lachlan Walmsley (Wing)
20      Jack Sinfield (Half-back)
21      Jayden Myers (Wing)
22      Thomas Doyle (Hooker)
23      Josh Rourke (Utility back)
24      Tray Lolesio (Prop)
25      Jordan Williams (Prop)
26      Vacant – club yet to confirm
27      Myles Lawford (Half-back)
28      Noah High (Prop)
29      Ellis Lingard (Prop)
30      Neil Tchamambe (Wing)
31      Kian McGann (Half-back)
32      Will Tate (Wing)

Source: Wakefield Trinity official first-team squad list for 2026 (wakefieldtrinity.com/squads/first-team/).
